,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
160,160,1/25/2022,2022-B34 ,958,0.0,0.2,0.2
167,167,1/25/2022,2022-B34 ,654,0.1,0.0,0.1
169,169,1/25/2022,2022-B34 ,L01,0.3,0.7,0.7615773105863908
172,172,1/25/2022,2022-B34 ,L01,0.2,0.6,0.6324555320336759
175,175,1/25/2022,2022-B34 ,L01,0.3,0.4,0.5
178,178,1/25/2022,2022-B34 ,L01,0.3,0.1,0.3162277660168379
179,179,1/25/2022,2022-B34 ,654,0.0,0.0,0.0
180,180,1/25/2022,2022-B34 ,104,0.0,0.2,0.2
181,181,1/25/2022,2022-B34 ,L01,0.2,0.2,0.282842712474619
182,182,1/25/2022,2022-B34 ,654,0.1,0.0,0.1
184,184,1/25/2022,2022-B34 ,L01,0.1,0.6,0.6082762530298219
185,185,1/25/2022,2022-B34 ,204,0.1,0.2,0.223606797749979
187,187,1/25/2022,2022-B34 ,L01,0.0,0.4,0.4
188,188,1/25/2022,2022-B34 ,204,0.0,0.2,0.2
189,189,1/25/2022,2022-B34 ,104,0.1,0.0,0.1
190,190,1/25/2022,2022-B34 ,L01,0.1,0.1,0.1414213562373095
191,191,1/25/2022,2022-B34 ,204,0.2,0.0,0.2
194,194,1/25/2022,2022-B34 ,C95,0.4,0.1,0.4123105625617661
197,197,1/25/2022,2022-B34 ,C95,0.1,0.3,0.3162277660168379
198,198,1/25/2022,2022-B34 ,104,0.0,0.4,0.4
200,200,1/25/2022,2022-B34 ,C95,0.1,0.2,0.223606797749979
204,204,1/25/2022,2022-B34 ,I93,0.3,0.1,0.3162277660168379
209,209,1/25/2022,2022-B35 ,G96,0.1,0.0,0.1
212,212,1/25/2022,2022-B35 ,G96,0.1,0.0,0.1
215,215,1/25/2022,2022-B35 ,F52,0.1,0.0,0.1
218,218,1/25/2022,2022-B35 ,F52,0.0,0.0,0.0
219,219,1/25/2022,2022-B35 ,654,0.1,0.0,0.1
221,221,1/25/2022,2022-B35 ,F52,0.0,0.1,0.1
222,222,1/25/2022,2022-B35 ,654,0.1,0.3,0.3162277660168379
224,224,1/25/2022,2022-B35 ,F52,0.0,0.1,0.1
225,225,1/25/2022,2022-B35 ,654,0.1,0.2,0.223606797749979
227,227,1/25/2022,2022-B35 ,F52,0.0,0.0,0.0
230,230,1/25/2022,2022-B35 ,F52,0.0,0.0,0.0
234,234,1/25/2022,2022-B35 ,I93,0.0,0.0,0.0
237,237,1/25/2022,2022-B35 ,I93,0.0,0.8,0.8
238,238,1/25/2022,2022-B35 ,H36,0.1,0.4,0.4123105625617661
241,241,1/25/2022,2022-B35 ,H36,0.2,0.5,0.5385164807134505
243,243,1/25/2022,2022-B35 ,I93,0.3,0.0,0.3
244,244,1/25/2022,2022-B35 ,H36,0.3,0.4,0.5
245,245,1/25/2022,2022-B35 ,L01,0.5,0.1,0.5099019513592785
247,247,1/25/2022,2022-B35 ,H36,0.5,0.3,0.58309518948453
248,248,1/25/2022,2022-B35 ,L01,0.4,1.0,1.077032961426901
249,249,1/25/2022,2022-B35 ,204,0.1,0.2,0.223606797749979
251,251,1/25/2022,2022-B35 ,L01,0.3,1.1,1.140175425099138
252,252,1/25/2022,2022-B35 ,204,0.6,0.3,0.6708203932499369
