Date,Bulletin,Obs Code,Residual RA,Residual Dec
1/21/2022,2022-B09 ,G15,0.6,0.4
1/21/2022,2022-B09 ,734,0.1,0.5
1/21/2022,2022-B09 ,Z33,0.2,0.3
1/21/2022,2022-B09 ,J95,0.2,0.1
1/21/2022,2022-B09 ,734,0.0,0.1
1/21/2022,2022-B09 ,J57,0.3,0.5
1/21/2022,2022-B09 ,G14,0.4,0.5
1/21/2022,2022-B09 ,734,0.3,0.1
1/21/2022,2022-B09 ,Z33,0.1,0.1
1/21/2022,2022-B09 ,J95,0.0,0.1
1/21/2022,2022-B09 ,858,0.1,0.1
1/21/2022,2022-B09 ,G02,0.4,0.1
1/21/2022,2022-B09 ,J95,0.1,0.1
1/21/2022,2022-B09 ,858,0.0,0.2
1/21/2022,2022-B09 ,Z33,0.8,0.3
1/21/2022,2022-B09 ,G15,0.9,0.7
1/21/2022,2022-B09 ,858,0.4,0.1
1/21/2022,2022-B09 ,J57,0.0,0.1
1/21/2022,2022-B09 ,J95,0.1,0.1
1/21/2022,2022-B09 ,G96,0.1,0.0
1/21/2022,2022-B09 ,J69,0.7,0.4
1/21/2022,2022-B09 ,G15,0.0,0.2
1/21/2022,2022-B09 ,G96,0.1,0.4
1/21/2022,2022-B09 ,J69,0.2,0.1
1/21/2022,2022-B09 ,203,0.5,0.0
1/21/2022,2022-B09 ,J69,0.1,0.1
1/21/2022,2022-B09 ,203,0.4,0.0
1/25/2022,2022-B34 ,K88,0.5,0.3
1/25/2022,2022-B34 ,B49,0.3,0.3
1/25/2022,2022-B34 ,858,0.0,0.0
1/25/2022,2022-B34 ,K88,0.2,0.2
1/25/2022,2022-B34 ,I93,0.1,0.1
1/25/2022,2022-B34 ,858,0.1,0.1
1/25/2022,2022-B34 ,K88,0.5,0.1
1/25/2022,2022-B34 ,B49,0.0,0.3
1/25/2022,2022-B34 ,858,0.1,0.0
1/25/2022,2022-B34 ,K88,0.5,1.2
1/25/2022,2022-B34 ,I93,0.1,0.2
1/25/2022,2022-B34 ,U52,0.6,0.9
1/25/2022,2022-B34 ,B49,0.6,0.7
1/25/2022,2022-B34 ,958,0.1,0.1
1/25/2022,2022-B34 ,U52,0.5,0.4
1/25/2022,2022-B34 ,K88,0.6,0.3
1/25/2022,2022-B34 ,958,0.4,0.2
1/25/2022,2022-B34 ,U52,2.4,1.0
1/25/2022,2022-B34 ,K88,0.1,0.4
1/25/2022,2022-B34 ,K88,0.2,0.1
1/25/2022,2022-B34 ,U52,0.1,0.4
1/25/2022,2022-B34 ,K88,0.0,0.1
1/25/2022,2022-B34 ,958,0.0,0.2
1/25/2022,2022-B34 ,U52,0.2,0.3
1/25/2022,2022-B34 ,B49,1.8,0.3
1/25/2022,2022-B34 ,K88,0.2,0.1
1/25/2022,2022-B34 ,U52,0.2,0.4
1/25/2022,2022-B34 ,K88,0.2,0.0
1/25/2022,2022-B34 ,K88,0.2,0.1
1/25/2022,2022-B34 ,654,0.1,0.0
1/25/2022,2022-B34 ,K88,0.8,0.7
1/25/2022,2022-B34 ,L01,0.3,0.7
1/25/2022,2022-B34 ,U52,0.6,0.3
1/25/2022,2022-B34 ,K88,0.7,0.8
1/25/2022,2022-B34 ,L01,0.2,0.6
1/25/2022,2022-B34 ,U52,0.3,0.1
1/25/2022,2022-B34 ,K63,0.2,0.3
1/25/2022,2022-B34 ,L01,0.3,0.4
1/25/2022,2022-B34 ,U52,0.6,0.4
1/25/2022,2022-B34 ,K63,0.2,0.5
1/25/2022,2022-B34 ,L01,0.3,0.1
1/25/2022,2022-B34 ,654,0.0,0.0
1/25/2022,2022-B34 ,104,0.0,0.2
1/25/2022,2022-B34 ,L01,0.2,0.2
1/25/2022,2022-B34 ,654,0.1,0.0
1/25/2022,2022-B34 ,K88,0.2,0.2
1/25/2022,2022-B34 ,L01,0.1,0.6
